target_return,exp_return,capital_charge
0.04719,0.04719,0.01364
0.04777,0.04777,0.01441
0.04835,0.04835,0.01527
0.04893,0.04893,0.01619
0.04951,0.04951,0.01715
0.05008,0.05008,0.01815
0.05066,0.05066,0.01917
0.05124,0.05124,0.02023
0.05182,0.05182,0.02135
0.05239,0.05239,0.02249
0.05297,0.05297,0.02366
0.05355,0.05355,0.02487
0.05413,0.05413,0.0261
0.05471,0.05471,0.0274
0.05528,0.05528,0.02873
0.05586,0.05586,0.0301
0.05644,0.05644,0.0315
0.05702,0.05702,0.03295
0.05759,0.05759,0.03444
0.05817,0.05817,0.03595
0.05875,0.05875,0.03748
0.05933,0.05933,0.03913
0.05991,0.05991,0.04124
0.06048,0.06048,0.04426
0.06106,0.06106,0.04754
0.06164,0.06164,0.05096
0.06222,0.06222,0.0545
0.06279,0.06279,0.05813
0.06337,0.06337,0.0685
0.06395,0.06395,0.08778
