,AUD Sovereign,USD Sovereign,GBP Sovereign,EUR Sovereign,NZD Sovereign,CAD Sovereign,IG Credit,Corporate Credit,CLO AAA,ABS,RMBS,CMBS,Cash,High Yield,CLO BBB,Private Credit,Infra Debt,Infra Equity,Listed Equities,Unlisted Property,Gold
AUD Sovereign,1.0,0.479,0.56,0.525,0.494,0.483,0.295,0.114,-0.257,-0.076,0.026,0.004,0.139,0.014,-0.222,-0.092,0.346,-0.065,-0.081,-0.176,0.01
USD Sovereign,0.479,1.0,0.552,0.468,0.441,0.47,0.258,0.053,-0.293,-0.124,-0.044,-0.084,0.152,0.039,-0.207,-0.112,0.289,-0.082,-0.094,-0.158,0.102
GBP Sovereign,0.56,0.552,1.0,0.53,0.463,0.559,0.344,0.083,-0.303,-0.071,-0.005,-0.052,0.105,-0.021,-0.202,-0.111,0.295,-0.108,-0.112,-0.144,0.177
EUR Sovereign,0.525,0.468,0.53,1.0,0.551,0.528,0.288,0.1,-0.293,-0.132,-0.06,-0.106,0.084,0.017,-0.261,-0.134,0.263,-0.111,-0.161,-0.224,0.124
NZD Sovereign,0.494,0.441,0.463,0.551,1.0,0.483,0.247,0.122,-0.272,-0.071,-0.013,-0.058,0.087,0.011,-0.262,-0.109,0.295,-0.061,-0.085,-0.128,0.092
CAD Sovereign,0.483,0.47,0.559,0.528,0.483,1.0,0.289,0.154,-0.308,-0.107,-0.056,-0.084,0.025,0.018,-0.206,-0.098,0.306,-0.081,-0.113,-0.143,0.112
IG Credit,0.295,0.258,0.344,0.288,0.247,0.289,1.0,0.477,0.316,0.405,0.467,0.412,0.015,0.399,0.315,0.395,0.589,0.302,0.326,0.346,0.073
Corporate Credit,0.114,0.053,0.083,0.1,0.122,0.154,0.477,1.0,0.501,0.545,0.533,0.555,0.061,0.533,0.535,0.554,0.572,0.542,0.542,0.569,-0.072
CLO AAA,-0.257,-0.293,-0.303,-0.293,-0.272,-0.308,0.316,0.501,1.0,0.792,0.804,0.806,0.009,0.452,0.795,0.554,0.388,0.47,0.469,0.616,-0.125
ABS,-0.076,-0.124,-0.071,-0.132,-0.071,-0.107,0.405,0.545,0.792,1.0,0.754,0.765,0.011,0.45,0.684,0.559,0.497,0.433,0.477,0.6,-0.048
RMBS,0.026,-0.044,-0.005,-0.06,-0.013,-0.056,0.467,0.533,0.804,0.754,1.0,0.769,0.101,0.506,0.713,0.542,0.567,0.446,0.409,0.541,-0.03
CMBS,0.004,-0.084,-0.052,-0.106,-0.058,-0.084,0.412,0.555,0.806,0.765,0.769,1.0,0.041,0.502,0.704,0.578,0.561,0.536,0.501,0.632,-0.099
Cash,0.139,0.152,0.105,0.084,0.087,0.025,0.015,0.061,0.009,0.011,0.101,0.041,1.0,0.037,0.008,-0.015,0.081,0.078,-0.005,-0.012,-0.083
High Yield,0.014,0.039,-0.021,0.017,0.011,0.018,0.399,0.533,0.452,0.45,0.506,0.502,0.037,1.0,0.539,0.571,0.55,0.571,0.616,0.599,-0.056
CLO BBB,-0.222,-0.207,-0.202,-0.261,-0.262,-0.206,0.315,0.535,0.795,0.684,0.713,0.704,0.008,0.539,1.0,0.61,0.434,0.567,0.572,0.678,-0.047
Private Credit,-0.092,-0.112,-0.111,-0.134,-0.109,-0.098,0.395,0.554,0.554,0.559,0.542,0.578,-0.015,0.571,0.61,1.0,0.5,0.651,0.739,0.668,-0.065
Infra Debt,0.346,0.289,0.295,0.263,0.295,0.306,0.589,0.572,0.388,0.497,0.567,0.561,0.081,0.55,0.434,0.5,1.0,0.468,0.474,0.489,0.016
Infra Equity,-0.065,-0.082,-0.108,-0.111,-0.061,-0.081,0.302,0.542,0.47,0.433,0.446,0.536,0.078,0.571,0.567,0.651,0.468,1.0,0.712,0.635,-0.083
Listed Equities,-0.081,-0.094,-0.112,-0.161,-0.085,-0.113,0.326,0.542,0.469,0.477,0.409,0.501,-0.005,0.616,0.572,0.739,0.474,0.712,1.0,0.708,-0.085
Unlisted Property,-0.176,-0.158,-0.144,-0.224,-0.128,-0.143,0.346,0.569,0.616,0.6,0.541,0.632,-0.012,0.599,0.678,0.668,0.489,0.635,0.708,1.0,-0.032
Gold,0.01,0.102,0.177,0.124,0.092,0.112,0.073,-0.072,-0.125,-0.048,-0.03,-0.099,-0.083,-0.056,-0.047,-0.065,0.016,-0.083,-0.085,-0.032,1.0
