,mean_annual_pnl,pnl_volatility,plan_target,prob_miss_plan,earnings_at_risk_5pc,cte_95,upside_95pc
Baseline,0.07752,0.03366,0.045,0.157,0.01404,-0.00531,0.12593
Equal-Weight,0.06958,0.02329,0.045,0.1446,0.02686,0.01358,0.10282
Max-Sharpe,0.05915,0.01684,0.045,0.1882,0.02786,0.01833,0.08279
Min-Variance,0.0557,0.01965,0.045,0.2594,0.01887,0.00745,0.08247
Risk-Parity,0.06228,0.01999,0.045,0.1758,0.02553,0.01327,0.09059
Max-Diversification,0.05615,0.01719,0.045,0.2278,0.02461,0.01385,0.08099
Black-Litterman,0.07601,0.03224,0.045,0.1584,0.01571,-0.00304,0.1224
Robust,0.05918,0.01703,0.045,0.1914,0.0277,0.01793,0.08317
ML-Forecast,0.06132,0.01599,0.045,0.156,0.03164,0.02263,0.08387
Max-RoC,0.07122,0.03637,0.045,0.213,0.00625,-0.01233,0.12783
Capital-Budgeted,0.08104,0.02934,0.045,0.1194,0.02782,0.01162,0.12379
Risk 20%,0.07694,0.0323,0.045,0.1532,0.01593,-0.00245,0.12334
Min-EarningsVol,0.05499,0.01419,0.045,0.2202,0.0286,0.02038,0.07466
Pareto-Balanced,0.06323,0.01952,0.045,0.1744,0.02754,0.01692,0.09096
