date,Rates,Credit spread,Structured spread,Equity,Property,Gold
2002-12-31,-5.7541,-1.6654,-1.1843,0.1357,0.0582,-0.0009
2003-01-31,-5.8215,-1.0528,-1.38,0.137,0.071,-0.0042
2003-02-28,-5.7561,-1.1163,-1.3015,0.1379,0.0698,-0.0038
2003-03-31,-5.7881,-0.896,-1.218,0.1403,0.083,-0.0033
2003-04-30,-5.701,-1.3255,-0.8424,0.1439,0.0971,-0.0012
2003-05-31,-5.7422,-1.8211,-1.1387,0.1442,0.0345,0.0011
2003-06-30,-5.6495,-1.6146,-1.0166,0.1461,0.0377,0.0046
2003-07-31,-5.6935,-1.2363,-1.381,0.1447,-0.0231,0.0028
2003-08-31,-5.6742,-1.2724,-1.5132,0.1458,-0.0261,0.0022
2003-09-30,-5.6288,-1.0903,-1.2182,0.149,-0.0038,-0.0016
2003-10-31,-5.5539,-0.9439,-1.2989,0.1565,-0.0182,-0.0043
2003-11-30,-5.3673,-0.9847,-1.2142,0.1515,-0.0114,-0.0004
2003-12-31,-5.3598,-1.1875,-1.2616,0.15,-0.0285,0.0011
2004-01-31,-5.2862,-1.4229,-1.4571,0.1487,-0.0578,0.0031
2004-02-29,-5.5132,-1.3021,-1.527,0.1494,-0.0408,0.0049
2004-03-31,-5.5506,-1.251,-1.5571,0.1496,-0.0356,0.0033
2004-04-30,-5.6017,-1.3733,-1.8948,0.1524,-0.0486,0.0031
2004-05-31,-5.6699,-1.6199,-1.9634,0.1517,-0.0391,0.0049
2004-06-30,-5.4974,-1.6976,-2.0538,0.1534,-0.0743,0.0084
2004-07-31,-5.4888,-1.6963,-2.0471,0.1529,-0.0751,0.0088
2004-08-31,-5.5569,-1.6256,-1.9254,0.1455,-0.1012,0.0088
2004-09-30,-5.236,-1.1635,-2.1673,0.1428,-0.0243,0.01
2004-10-31,-5.239,-0.888,-2.039,0.1461,-0.0477,0.0091
2004-11-30,-4.9271,-1.1746,-2.0163,0.1508,-0.017,0.0064
2004-12-31,-4.8929,-0.9699,-1.9902,0.156,0.0464,0.0043
2005-01-31,-4.8905,-1.1222,-2.1683,0.153,0.0434,0.0062
2005-02-28,-4.921,-1.5196,-1.7934,0.1502,0.038,-0.0007
2005-03-31,-4.2346,-1.3011,-2.3863,0.1392,-0.0022,0.0075
2005-04-30,-4.4062,-1.5693,-1.6513,0.1366,-0.0394,0.0033
2005-05-31,-4.4629,-1.6993,-1.4626,0.1387,-0.0559,0.0018
2005-06-30,-4.4296,-1.4438,-1.443,0.1354,-0.0621,0.0026
2005-07-31,-4.4299,-1.4299,-1.4382,0.1354,-0.0617,0.0025
2005-08-31,-4.3098,-1.6315,-1.6666,0.1353,-0.0737,0.0063
2005-09-30,-4.2331,-1.9302,-2.0047,0.134,-0.0591,0.0098
2005-10-31,-4.2388,-1.944,-1.9027,0.1365,-0.0085,0.0149
2005-11-30,-4.2699,-1.5571,-1.8023,0.1317,-0.1114,0.0211
2005-12-31,-4.7026,-2.6376,-2.2162,0.1355,0.0024,0.0266
2006-01-31,-4.8197,-2.8964,-2.0759,0.12,0.0236,0.0279
2006-02-28,-4.7614,-2.6829,-1.9041,0.1165,-0.0353,0.0321
2006-03-31,-4.8759,-2.9703,-1.8077,0.1175,-0.0618,0.0296
2006-04-30,-5.0462,-3.109,-1.8664,0.1133,-0.0919,0.0241
2006-05-31,-5.0441,-3.134,-2.0299,0.114,-0.0841,0.0248
2006-06-30,-5.0962,-3.2866,-2.0415,0.1134,-0.0843,0.0199
2006-07-31,-4.9398,-3.7808,-1.9286,0.1184,-0.0345,0.0188
2006-08-31,-5.3047,-3.8499,-2.0932,0.1217,-0.1054,0.0173
2006-09-30,-5.3243,-3.8198,-1.9723,0.1207,-0.0989,0.0146
2006-10-31,-5.6117,-4.1712,-1.9005,0.1211,-0.0748,0.0131
2006-11-30,-5.6225,-4.1189,-1.8558,0.1212,-0.0837,0.013
2006-12-31,-5.6225,-4.2395,-1.846,0.1203,-0.1021,0.0144
2007-01-31,-5.6131,-3.9465,-1.8532,0.1234,-0.0612,0.0142
2007-02-28,-5.1029,-4.5972,-1.5792,0.1256,-0.1205,0.0069
2007-03-31,-4.9623,-4.8065,-1.4677,0.1221,-0.1623,0.0105
2007-04-30,-4.8287,-4.6865,-1.2685,0.1207,-0.1356,0.0109
2007-05-31,-5.0281,-4.6924,-1.317,0.1228,-0.1714,0.0038
2007-06-30,-5.1897,-4.484,-1.1831,0.1196,-0.1044,0.0033
2007-07-31,-5.1888,-4.6078,-1.2342,0.1199,-0.1311,0.0039
2007-08-31,-5.2755,-4.4814,-1.2768,0.124,-0.0751,-0.0002
2007-09-30,-5.3026,-4.5023,-1.3493,0.1217,-0.0688,-0.0008
2007-10-31,-5.2238,-4.7583,-1.5538,0.1227,-0.0966,-0.003
