name,weight,exp_return,marginal_risk,marginal_capital,return_per_risk,return_per_capital
NZD Sovereign,0.0198,0.045,0.01883,0.015,2.39035,3.0
GBP Sovereign,0.0495,0.044,0.03738,0.015,1.1772,2.93333
USD Sovereign,0.14158,0.043,0.03063,0.015,1.40383,2.86667
AUD Sovereign,0.16535,0.041,0.02825,0.015,1.45119,2.73333
CAD Sovereign,0.0198,0.04,0.02205,0.015,1.8137,2.66667
EUR Sovereign,0.0495,0.032,0.02702,0.015,1.18442,2.13333
CLO AAA,0.0396,0.059,0.00908,0.03,6.49656,1.96667
ABS,0.0297,0.052,0.01634,0.03,3.18258,1.73333
RMBS,0.0297,0.048,0.01834,0.03,2.617,1.6
IG Credit,0.13861,0.05,0.042,0.04,1.1906,1.25
Infra Debt,0.0198,0.058,0.04888,0.06,1.18661,0.96667
Corporate Credit,0.08911,0.057,0.04206,0.06,1.35535,0.95
CLO BBB,0.01485,0.082,0.03452,0.11,2.37525,0.74545
Private Credit,0.0297,0.085,0.03555,0.15,2.39106,0.56667
CMBS,0.0297,0.062,0.03074,0.11,2.01698,0.56364
High Yield,0.0198,0.072,0.05607,0.13,1.28403,0.55385
Infra Equity,0.0198,0.09,0.06337,0.3,1.42016,0.3
Unlisted Property,0.01485,0.07,0.04061,0.25,1.72384,0.28
Listed Equities,0.0297,0.08,0.07583,0.35,1.05505,0.22857
Gold,0.0099,0.035,0.01107,0.16,3.1617,0.21875
Cash,0.0396,0.04,0.00077,0.0,51.85794,
