capital_budget,exp_return,capital_used
0.01661,0.04919,0.01661
0.01907,0.0506,0.01907
0.02152,0.0519,0.02152
0.02398,0.05312,0.02398
0.02643,0.05428,0.02643
0.02888,0.05535,0.02888
0.03134,0.05637,0.03134
0.03379,0.05734,0.03379
0.03625,0.05828,0.03625
0.0387,0.05918,0.0387
0.04115,0.05989,0.04115
0.04361,0.06037,0.04361
0.04606,0.0608,0.04606
0.04852,0.06123,0.04852
0.05097,0.06164,0.05097
0.05342,0.06204,0.05342
0.05588,0.06244,0.05588
0.05833,0.06282,0.05833
0.06078,0.06302,0.06078
0.06324,0.06314,0.06324
0.06569,0.06325,0.06569
0.06815,0.06336,0.06815
0.0706,0.06345,0.0706
0.07305,0.06354,0.07305
0.07551,0.06361,0.07551
0.07796,0.06369,0.07796
0.08042,0.06376,0.08042
0.08287,0.06382,0.08287
0.08532,0.06389,0.08532
0.08778,0.06395,0.08778
