name,risk_share
IG Credit,0.17761299585293025
AUD Sovereign,0.1425344190210683
USD Sovereign,0.13232250507425114
Corporate Credit,0.11434290781565012
Listed Equities,0.06871968556636837
GBP Sovereign,0.056456707016624454
EUR Sovereign,0.040809308652913635
Infra Equity,0.038289563186055565
High Yield,0.03387912050141076
Private Credit,0.03221760204304014
Infra Debt,0.029532075245860694
CMBS,0.027858340291081286
Unlisted Property,0.018400767103430537
RMBS,0.016622748491725382
CLO BBB,0.015643709236886377
ABS,0.014807757341434604
CAD Sovereign,0.0133250410657253
NZD Sovereign,0.011374288903600493
CLO AAA,0.01097419286513755
Gold,0.003344194317846805
Cash,0.0009320704069583253
